id,name,lat,lon,subway,suburban
692340,"Helvetierweg, Hamburg",53.626957,9.959014,False,False
692345,"Vogt-Cordes-Damm, Hamburg",53.613859,9.951868,False,False
692488,"Lederstraße, Hamburg",53.589588,9.907425,False,False
692499,"Lohkoppelweg, Hamburg",53.592177,9.954196,False,False
692547,"BAB-Auffahrt Stellingen, Hamburg",53.5966,9.922212,False,False
692551,"Jütländer Allee, Hamburg",53.601409,9.931336,False,False
692599,"Katzbachstraße, Hamburg",53.601095,9.884314,False,False
692602,"Langbargheide (Nord), Hamburg",53.598883,9.886939,False,False
692690,"Regerstraße (Ost), Hamburg",53.571062,9.916918,False,False
692730,"Ebertallee, Hamburg",53.567844,9.888539,False,False
692749,"Behringstraße (AK Altona), Hamburg",53.557039,9.900782,False,False
692773,"Hohenzollernring (Süd), Hamburg",53.546036,9.91574,False,False
692973,"Buschrosenweg, Hamburg",53.601643,10.062552,False,False
692985,"Eichenlohweg, Hamburg",53.607944,10.044475,False,False
692987,"Schwarzer Weg, Hamburg",53.606371,10.055693,False,False
693021,"Ohlsdorfer Straße (Planetarium), Hamburg",53.598955,10.005731,False,False
693051,"Redderblock, Hamburg",53.615999,10.152264,False,False
693077,"Amtsstraße, Hamburg",53.596438,10.163366,False,False
693093,"Prehnsweg, Hamburg",53.604618,10.174692,False,False
693120,"Bauernrosenweg, Hamburg",53.598398,10.065824,False,False
693129,"Kohövedstraße, Hamburg",53.60878,10.144336,False,False
693142,"Berufsförderungswerk, Hamburg",53.611828,10.115471,False,False
693145,"Eissporthalle, Hamburg",53.604142,10.11966,False,False
693146,"Eckerkoppel, Hamburg",53.599998,10.118051,False,False
693147,"Pulverhofsweg, Hamburg",53.598749,10.123247,False,False
693150,"Sylter Weg, Hamburg",53.590218,10.104945,False,False
693183,"Pflegezentrum Holstenhof, Hamburg",53.567942,10.122915,False,False
693192,"Albert-Schweitzer-Ring, Hamburg",53.579431,10.123112,False,False
