thingID,description,coordinatesX,coordinatesY,resultHour,average_res
26,StadtRad-Station U Mundsburg / Schürbeker Straße,10.0271,53.5696,5,6.8492054052098705
26,StadtRad-Station U Mundsburg / Schürbeker Straße,10.0271,53.5696,6,6.943613130421161
26,StadtRad-Station U Mundsburg / Schürbeker Straße,10.0271,53.5696,7,7.2189172013502425
26,StadtRad-Station U Mundsburg / Schürbeker Straße,10.0271,53.5696,8,7.366893101937748
27,StadtRad-Station S Landwehr / Ramazan-Avci-Platz,10.037022,53.561109,9,6.084737395620533
27,StadtRad-Station S Landwehr / Ramazan-Avci-Platz,10.037022,53.561109,10,5.768850977891151
27,StadtRad-Station S Landwehr / Ramazan-Avci-Platz,10.037022,53.561109,11,5.515628349824775
27,StadtRad-Station S Landwehr / Ramazan-Avci-Platz,10.037022,53.561109,12,5.373628633271489
27,StadtRad-Station S Landwehr / Ramazan-Avci-Platz,10.037022,53.561109,13,5.282815527726242
27,StadtRad-Station S Landwehr / Ramazan-Avci-Platz,10.037022,53.561109,14,5.361038671150278
27,StadtRad-Station S Landwehr / Ramazan-Avci-Platz,10.037022,53.561109,15,5.731434498041635
27,StadtRad-Station S Landwehr / Ramazan-Avci-Platz,10.037022,53.561109,16,6.265393636621316
27,StadtRad-Station S Landwehr / Ramazan-Avci-Platz,10.037022,53.561109,17,6.856568813131311
27,StadtRad-Station S Landwehr / Ramazan-Avci-Platz,10.037022,53.561109,18,7.416356389146566
27,StadtRad-Station S Landwehr / Ramazan-Avci-Platz,10.037022,53.561109,19,7.8525274105854415
27,StadtRad-Station S Landwehr / Ramazan-Avci-Platz,10.037022,53.561109,20,8.271049429241392
27,StadtRad-Station S Landwehr / Ramazan-Avci-Platz,10.037022,53.561109,21,8.555117630385489
27,StadtRad-Station S Landwehr / Ramazan-Avci-Platz,10.037022,53.561109,22,8.672055149711403
27,StadtRad-Station S Landwehr / Ramazan-Avci-Platz,10.037022,53.561109,23,8.742274981962483
27,StadtRad-Station S Landwehr / Ramazan-Avci-Platz,10.037022,53.561109,0,8.77271351911977
27,StadtRad-Station S Landwehr / Ramazan-Avci-Platz,10.037022,53.561109,1,8.755519705988458
27,StadtRad-Station S Landwehr / Ramazan-Avci-Platz,10.037022,53.561109,2,8.79411166273297
27,StadtRad-Station S Landwehr / Ramazan-Avci-Platz,10.037022,53.561109,3,8.799753995880446
27,StadtRad-Station S Landwehr / Ramazan-Avci-Platz,10.037022,53.561109,4,8.693731060606062
27,StadtRad-Station S Landwehr / Ramazan-Avci-Platz,10.037022,53.561109,5,8.326609816274994
27,StadtRad-Station S Landwehr / Ramazan-Avci-Platz,10.037022,53.561109,6,7.575056045145331
27,StadtRad-Station S Landwehr / Ramazan-Avci-Platz,10.037022,53.561109,7,6.922567189754684
